التاريخ,البطولة,الفريق الاول,الفريق الثانى
2024-08-22,كأس مصر,بيراميدز,الجونة
2024-08-22,كأس مصر,الزمالك,طلائع الجيش
2024-08-22,كأس مصر,سيراميكا كليوباترا,زد
2024-08-22,كأس مصر,الإسماعيلي,سموحة
2024-08-22,دوري أبطال أوروبا,يانج بويز,جالاتا سراي
2024-08-22,كوبا ليبرتادوريس,فلومينينسي,جريميو
2024-08-22,دوري أبطال أوروبا,دينامو كييف,سالزبورج
2024-08-22,دوري أبطال أوروبا,مالمو,سبارتا براج
2024-08-22,دوري أبطال أوروبا,ميتيلاند,سلوفان براتيسلافا
2024-08-22,كأس الكونفدرالية,ألجاكو بلوس,سي دي لوندا سول
2024-08-22,الدوري الأردني للمحترفين,الأهلي,السلط
2024-08-22,الدوري الأردني للمحترفين,الفيصلي,شباب الأردن
2024-08-22,كوبا ليبرتادوريس,أتليتيكو مينيرو,سان لورينزو
2024-08-22,كوبا ليبرتادوريس,جونيور,كولو كولو
2024-08-22,كأس مصر,فاركو,المصري
2024-08-22,الدوري السعودي للمحترفين,النصر,الرائد
2024-08-22,الدوري السعودي للمحترفين,الوحدة,الرياض
2024-08-22,الدوري السعودي للمحترفين,التعاون,الفيحاء
2024-08-22,دوري نجوم قطر,الدحيل,أم صلال
2024-08-22,دوري نجوم قطر,الشمال,نادي قطر
2024-08-22,دوري نجوم قطر,السد,العربي
2024-08-22,الدوري الأردني للمحترفين,الحسين,الصريح
2024-08-22,الدوري الأردني للمحترفين,الوحدات,معان
2024-08-22,كوبا ليبرتادوريس,بالميراس,بوتافوجو
2024-08-22,كوبا ليبرتادوريس,ريفر بليت,تاليريس كوردوبا
2024-08-22,كوبا ليبرتادوريس,سترونجيست,بنيارول
2024-08-22,الدوري الفرنسي,باريس سان جيرمان,مونبلييه
2024-08-22,الدوري السعودي للمحترفين,الأهلي,العروبة
2024-08-22,الدوري الألماني,بوروسيا مونشنجلادباخ,باير ليفركوزن
2024-08-22,الدوري السعودي للمحترفين,القادسية,الفتح
2024-08-22,الدوري الإسباني,إشبيلية,فياريال
2024-08-22,الدوري السعودي للمحترفين,ضمك,الخليج
2024-08-22,الدوري الإنجليزي | الدرجة الأولى,شيفيلد وينزداي,ليدز يونايتد
2024-08-22,كوبا ليبرتادوريس,ساو باولو,ناسيونال
2024-08-23,كأس مصر,بيراميدز,الجونة
2024-08-23,كأس مصر,الزمالك,طلائع الجيش
2024-08-23,كأس مصر,سيراميكا كليوباترا,زد
2024-08-23,كأس مصر,الإسماعيلي,سموحة
2024-08-23,دوري أبطال أوروبا,يانج بويز,جالاتا سراي
2024-08-23,كوبا ليبرتادوريس,فلومينينسي,جريميو
2024-08-23,دوري أبطال أوروبا,دينامو كييف,سالزبورج
2024-08-23,دوري أبطال أوروبا,مالمو,سبارتا براج
2024-08-23,دوري أبطال أوروبا,ميتيلاند,سلوفان براتيسلافا
2024-08-23,كأس الكونفدرالية,ألجاكو بلوس,سي دي لوندا سول
2024-08-23,الدوري الأردني للمحترفين,الأهلي,السلط
2024-08-23,الدوري الأردني للمحترفين,الفيصلي,شباب الأردن
